Column 1
allied
backward
betting
confine
confined
confront
cookie
core
crisp
crush
curb
disgust
disturbing
embarrass
flesh
fundamental
gamble
glue
grain
hollow
imply
infectious
interpretation
knot
lump
motion
mount
nest
oddly
output
parallel
pole
recognition
reform
reform
relate
repeated
resistance
retain
senate
senator
set afire
sideways
sideways
suck
thread
urge
urge
venture
venture
