a bit
a few
a little
able
accident
across
activity
actor
actually
add
advanced
adventure
advertisement
advice
afraid
afterwards
aged
ago
agree
air
airport
alcohol
almost
alone
along
already
amazing
ambulance
angry
another
anyway
anywhere
apartment
appointment
area
around
arrive
art
artist
attractive
aunt
autumn
available
away
badly
bake
battery
become
beginning
believe
belt
bicycle
bill
biology
bit
blonde
blood
boil
boot
born
borrow
boss
bother
bottle
bowl
boyfriend
brain
break
bridge
bright
brilliant
bring
broken
broken
brush
build
building
businessman
busy
by
cent
call
camping
candy
cap
capital
card
careful
carefully
carpet
carrot
case
cash
castle
ceiling
cent
centimetre
centre
century
certainly
chain
channel
chat
cheaply
check
chemist
chemistry
cheque
chicken
church
cigarette
circle
clear
clearly
click
climb
climbing
closet
cloud
club
cm
coach
coldly
colleague
collect
college
coloured
comfortable
company
competition
complete
concert
congratulations
contact
cooker
cooking
cool
copy
corner
correct
cost
countryside
cousin
cover
covered
covering
crazy
cream
cross
crowd
crowded
cry
cupboard
curtain
customer
cut
cycling
daily
dancer
danger
dangerous
dead
decide
deep
degree
delay
dentist
department
describe
desert
detail
diary
difference
dirty
discount
discuss
dish
document
double
downstairs
businesswoman
drawer
drawing
dream
dressed
drum
dry
dying
earn
easily
east
electric
electricity
elevator
empty
engine
engineer
enough
enter
entrance
envelope
especially
euro
even
ever
everywhere
exactly
exam
examination
excellent
except
exercise
exist
exit
explain
extra
fact
fail
fair
fall
fan
far
farmer
farther
fashion
few
field
file
fill
final
finally
find out
finger
finished
fire
fishing
fit
flight
flying
follow
foreign
forest
fork
form
free
fresh
freshly
fridge
friendly
front
full
furniture
further
future
garage
gas
gate
geography
gift
girlfriend
glad
glove
gm
goal
god
gold
further
grade
gram
grammar
grandchild
granddaughter
grandfather
grandmother
grandparent
grandson
grocery
grow
grow up
guess
guest
guide
guy
happen
hate
far
headache
health
healthy
heart
heavy
break
high
highway
hill
history
hit
hobby
hold
hope
however
hurry
hurt
ice
idea
ill
immediately
improve
include
indoor
information
insect
instead
instruction
instrument
interested
international
invitation
island
jam
jelly
jewellery
join
journey
jump
just
keep
keyboard
kill
kilogram
kilometre
king
kiss
kilometer
litre
lake
lamp
large
latest
laugh
lazy
least
leather
left
lemon
lend
less
let
level
library
licence
license
lie
lift
line
list
litre
look after
lose
lost
loud
lovely
low
luck
lucky
luggage
machine
mad
magazine
magic
make sure
make-up
manager
map
mark
market
married
match
mathematics
matter
may
maybe
mean
medicine
meeting
member
memory
menu
metre
midday
middle
midnight
might
mine
mineral
mirror
miss
missing
mistake
mix
mixed
model
modern
moment
moon
most
motorcycle
mountain
mouse
move
movie theater
Ms
musical
must
national
nature
nearly
neck
negative
neighbour
net
news
nobody
nobody
noisy
normal
north
nothing
notice
nurse
off
offer
office
oil
once
onion
opposite
order
out
over
own
pack
pain
painter
painting
pale
partner
pass
passenger
passport
past
path
pepper
perfect
perhaps
petrol
photograph
photographer
photography
physics
piano
pick up
piece
pilot
pink
plan
plastic
platform
pleasant
pleased
pleasing
plus
pocket
police
polite
pool
pop
popular
possibly
post
post office
pound
practice
prefer
prepare
prepared
pretty
price
print
printer
printing
prize
probably
problem
program
programme
project
pub
pull
pupil
purple
push
put on
queen
quickly
quiet
quite
race
racing
railway
real
really
reason
receipt
receive
record
rent
rent
repair
repeat
rest
return
rich
riding
ring
rock
roof
round
rounded
rubber
ruler
runner
running
salad
sale
sauce
save
science
scissors
screen
seat
secretary
sell
serve
several
share
sheet
shelf
ship
shout
shut
sick
side
sign
silver
simple
singer
singing
single
sink
sit down
size
sky
slice
slowly
snake
so
soap
sock
soft
software
somebody
somewhere
song
sort
soul
sound
south
space
speaker
special
spell
spelling
spend
spoken
spoon
spring
square
staff
stage
stair
stamp
stand
star
steal
still
stomach
storm
story
stove
straight
strange
strong
such
spoken
suit
suitcase
suppose
sure
surname
surprise
surprised
sweater
swimming
take off
tape
team
temperature
term
terrible
text
thank
rest
web
theatre
thin
thinking
thirsty
through
throw
tidy
tie
timetable
tire
toe
top
tour
tourist
towel
toy
traffic
trip
true
try
tune
turn
twice
type
tyre
umbrella
uncle
underground
unfortunately
unhappy
uniform
unusual
upset
upsetting
upstairs
used
useful
usually
variety
various
video
view
visitor
vocabulary
walking
wallet
war
washing
way
weekly
welcome
known
west
wet
wheel
while
whole
wide
wild
win
winner
winning
wonderful
wood
wooden
wool
worker
worried
worry
worrying
worse
yeah
yet
worst
bad
zero
